timestamp,user,source_ip,dest_ip,event_type,process,port,bytes_sent,bytes_recv,duration_sec,login_attempts,failed_logins,country,is_admin,after_hours,label
2026-06-03T14:35:29.504461,eve,192.168.2.68,192.168.2.84,login_failure,explorer.exe,443,4461,2167,6.86,1,0,NZ,0,0,0
2026-06-06T22:05:09.504461,bob,192.168.5.29,192.168.2.87,logout,ssh,443,3514,8957,5.83,1,0,NZ,0,0,0
2026-05-24T11:18:04.504461,alice,192.168.5.220,192.168.3.126,file_deleted,bash,22,2490,8959,26.67,1,0,NZ,0,0,0
2026-06-06T14:48:22.504461,eve,192.168.2.131,192.168.5.243,logout,svchost.exe,22,348,4425,11.32,1,0,NZ,0,0,0
2026-05-31T23:34:10.504461,ivan,192.168.4.156,192.168.4.9,login_success,explorer.exe,22,2785,3039,5.42,1,0,NZ,0,0,0
2026-05-29T18:17:53.504461,bob,192.168.4.82,192.168.2.123,policy_change,python.exe,22,1397,750,14.68,1,0,NZ,0,0,0
2026-06-08T22:19:25.504461,eve,192.168.5.154,192.168.3.90,file_modified,cmd.exe,443,832,1766,22.75,1,0,NZ,0,0,0
2026-06-03T11:53:40.504461,frank,192.168.2.87,192.168.5.154,file_modified,bash,80,403,3897,29.39,1,0,NZ,0,0,0
2026-05-25T00:33:26.504461,bob,192.168.5.186,192.168.3.90,login_success,cmd.exe,80,3393,5993,1.63,1,0,NZ,0,0,0
2026-06-03T09:10:08.504461,diana,192.168.4.156,192.168.1.107,network_connection,cmd.exe,443,770,305,14.69,1,0,NZ,0,0,0
2026-06-03T16:20:47.504461,eve,192.168.5.154,192.168.1.107,process_created,svchost.exe,443,4354,3172,5.39,1,0,NZ,0,0,0
2026-05-15T20:53:11.504461,grace,192.168.3.251,192.168.5.29,logout,bash,443,532,5143,29.23,1,0,NZ,0,0,0
2026-05-31T22:35:22.504461,henry,192.168.4.82,192.168.5.29,login_failure,ssh,22,4313,8871,19.8,1,0,NZ,0,0,0
2026-05-13T05:43:44.504461,eve,192.168.4.99,192.168.4.79,logout,explorer.exe,443,4703,6419,15.85,1,0,NZ,0,0,0
2026-06-10T00:08:50.504461,eve,192.168.3.210,192.168.2.215,file_access,python.exe,22,3103,1980,14.67,1,0,NZ,0,0,0
2026-06-08T02:27:52.504461,frank,192.168.1.107,192.168.4.156,file_modified,explorer.exe,443,3545,7777,16.92,1,0,NZ,0,0,0
2026-05-13T12:47:11.504461,diana,192.168.3.254,192.168.4.164,file_deleted,explorer.exe,80,4617,4558,4.93,1,0,NZ,0,0,0
2026-06-09T13:48:54.504461,diana,160.183.82.122,192.168.2.123,service_stopped,wget,1337,236,155,0.63,1,0,CN,0,0,1
2026-05-16T21:35:49.504461,charlie,192.168.3.159,192.168.5.220,network_connection,cmd.exe,80,4678,8382,2.26,1,0,NZ,0,0,0
2026-05-22T14:36:27.504461,frank,192.168.4.156,192.168.2.84,file_modified,powershell.exe,443,2119,8199,28.7,1,0,NZ,0,0,0
2026-05-16T19:32:27.504461,admin,160.183.82.122,192.168.3.126,logout,svchost.exe,4444,3796793,222,1518.18,1,0,US,0,0,1
2026-05-12T21:37:08.504461,frank,192.168.4.137,192.168.3.210,file_access,ssh,80,3689,7894,21.37,1,0,NZ,0,0,0
2026-05-22T10:01:45.504461,judy,192.168.3.21,192.168.2.87,file_access,powershell.exe,80,4087,6420,16.45,1,0,NZ,0,0,0
2026-05-20T20:55:36.504461,judy,170.194.62.57,192.168.5.220,login_failure,cmd.exe,3389,0,0,0.0,154,152,CN,0,0,1
2026-05-21T05:58:35.504461,diana,192.168.2.84,192.168.1.107,file_deleted,explorer.exe,22,1516,7767,29.49,1,0,NZ,0,0,0
2026-05-26T16:03:52.504461,admin,136.127.233.183,192.168.4.164,service_stopped,nmap,8080,0,0,0.0,1,0,RU,0,1,1
2026-06-08T06:03:20.504461,grace,192.168.4.94,192.168.2.84,process_created,cmd.exe,80,2029,8618,6.3,1,0,NZ,0,0,0
2026-05-12T19:32:31.504461,judy,192.168.3.90,192.168.4.99,logout,chrome.exe,80,3190,467,1.69,1,0,NZ,0,0,0
2026-05-29T08:23:58.504461,ivan,192.168.3.254,192.168.2.215,privilege_escalation,cmd.exe,443,2536,2993,1.4,1,0,NZ,0,0,0
2026-05-14T17:07:32.504461,bob,192.168.3.254,192.168.4.137,file_access,python.exe,443,2558,6199,14.0,1,0,NZ,0,0,0
2026-05-18T16:30:47.504461,diana,192.168.4.99,192.168.3.21,network_connection,chrome.exe,22,1307,7284,14.99,1,0,NZ,0,0,0
2026-05-17T08:54:03.504461,diana,192.168.3.210,192.168.4.99,login_success,svchost.exe,22,2619,5892,14.9,1,0,NZ,0,0,0
2026-05-21T15:37:45.504461,diana,192.168.2.215,192.168.4.94,process_created,bash,22,476,1338,13.66,1,0,NZ,0,0,0
2026-06-06T20:16:42.504461,charlie,192.168.4.9,192.168.2.213,file_deleted,explorer.exe,22,4229,7400,24.04,1,0,NZ,0,0,0
2026-06-07T03:55:21.504461,eve,192.168.3.239,192.168.2.213,policy_change,python.exe,22,2709,9665,14.98,1,0,NZ,0,0,0
2026-05-18T14:34:20.504461,charlie,192.168.3.239,192.168.2.87,policy_change,explorer.exe,443,1990,2858,2.52,1,0,NZ,0,0,0
2026-05-30T12:53:17.504461,bob,192.168.3.210,192.168.3.21,file_access,python.exe,22,1008,2678,26.2,1,0,NZ,0,0,0
2026-05-24T06:55:11.504461,frank,192.168.4.79,192.168.2.84,file_access,chrome.exe,22,2300,6065,13.93,1,0,NZ,0,0,0
2026-06-11T06:40:22.504461,charlie,192.168.3.239,192.168.5.29,file_access,ssh,22,2995,3530,8.71,1,0,NZ,0,0,0
2026-05-29T03:36:01.504461,frank,192.168.3.239,192.168.2.215,network_connection,powershell.exe,22,1503,8511,23.02,1,0,NZ,0,0,0
2026-05-21T05:45:32.504461,bob,192.168.2.68,192.168.4.156,logout,explorer.exe,443,4240,4456,20.28,1,0,NZ,0,0,0
2026-06-07T02:31:20.504461,grace,192.168.5.243,192.168.3.239,login_failure,chrome.exe,22,2750,9865,28.36,1,0,NZ,0,0,0
2026-06-08T10:39:24.504461,charlie,192.168.2.68,192.168.5.154,file_modified,svchost.exe,443,111,1885,12.47,1,0,NZ,0,0,0
2026-05-25T13:35:58.504461,ivan,192.168.3.251,192.168.2.68,process_created,ssh,443,2429,3233,16.26,1,0,NZ,0,0,0
2026-05-22T23:28:49.504461,frank,136.212.74.251,192.168.3.18,policy_change,powershell.exe,4444,195,161,1.77,1,0,CN,0,0,1
2026-05-25T10:19:56.504461,ivan,192.168.3.90,192.168.3.251,policy_change,ssh,80,4987,1695,3.39,1,0,NZ,0,0,0
2026-05-17T05:20:16.504461,henry,192.168.2.87,192.168.5.243,file_deleted,svchost.exe,443,4145,1058,23.66,1,0,NZ,0,0,0
2026-05-14T13:49:47.504461,frank,192.168.3.18,192.168.2.68,file_modified,cmd.exe,80,1197,7877,1.89,1,0,NZ,0,0,0
2026-05-21T00:07:28.504461,ivan,192.168.2.123,192.168.3.21,file_access,bash,22,1544,4216,29.02,1,0,NZ,0,0,0
2026-05-29T21:49:46.504461,henry,192.168.2.131,192.168.2.213,process_created,ssh,80,3775,1807,29.96,1,0,NZ,0,0,0
2026-05-14T08:30:02.504461,judy,192.168.4.82,192.168.2.123,logout,ssh,80,2485,291,22.26,1,0,NZ,0,0,0
2026-05-31T17:56:03.504461,diana,192.168.4.82,192.168.4.164,file_access,svchost.exe,22,844,5634,0.63,1,0,NZ,0,0,0
2026-06-05T07:23:02.504461,henry,192.168.3.126,192.168.2.131,file_modified,powershell.exe,80,1357,8717,24.98,1,0,NZ,0,0,0
2026-05-19T13:05:35.504461,henry,192.168.3.18,192.168.3.251,file_modified,bash,80,2818,7744,6.42,1,0,NZ,0,0,0
2026-06-09T04:46:04.504461,ivan,192.168.2.84,192.168.4.137,logout,explorer.exe,22,3202,4202,11.45,1,0,NZ,0,0,0
2026-06-06T21:12:27.504461,henry,192.168.3.239,192.168.3.239,file_access,powershell.exe,22,3004,5651,24.67,1,0,NZ,0,0,0
2026-06-05T11:50:53.504461,judy,192.168.2.215,192.168.4.156,login_success,cmd.exe,22,2790,5368,9.64,1,0,NZ,0,0,0
2026-05-27T14:38:05.504461,eve,77.17.232.206,192.168.3.90,login_failure,nmap,9001,0,0,0.0,71,69,US,0,0,1
2026-05-15T18:16:12.504461,henry,192.168.3.210,192.168.3.210,process_created,bash,22,2200,4573,14.37,1,0,NZ,0,0,0
2026-06-05T05:47:17.504461,charlie,192.168.2.131,192.168.5.220,logout,powershell.exe,80,4695,3751,0.37,1,0,NZ,0,0,0
2026-06-08T19:29:49.504461,henry,192.168.4.99,192.168.2.84,policy_change,bash,443,1642,2504,7.34,1,0,NZ,0,0,0
2026-06-05T07:09:13.504461,frank,192.168.2.215,192.168.3.251,policy_change,chrome.exe,22,3759,5080,21.01,1,0,NZ,0,0,0
2026-05-25T11:35:06.504461,bob,192.168.2.68,192.168.3.239,privilege_escalation,explorer.exe,443,2971,6198,22.22,1,0,NZ,0,0,0
2026-05-20T01:38:34.504461,bob,192.168.4.99,192.168.5.29,logout,bash,80,4483,4735,2.3,1,0,NZ,0,0,0
2026-05-31T01:04:30.504461,diana,192.168.2.123,192.168.4.99,process_created,powershell.exe,22,3641,9058,0.85,1,0,NZ,0,0,0
2026-05-28T14:17:35.504461,grace,192.168.5.29,192.168.4.82,network_connection,python.exe,443,720,1336,17.66,1,0,NZ,0,0,0
2026-05-16T03:39:50.504461,charlie,192.168.5.220,192.168.4.164,file_access,bash,22,2040,702,7.64,1,0,NZ,0,0,0
2026-06-07T12:10:11.504461,admin,144.195.31.235,192.168.3.18,service_started,explorer.exe,445,0,0,0.0,1,0,RU,1,1,1
2026-05-16T14:42:06.504461,grace,192.168.3.239,192.168.3.210,login_success,explorer.exe,443,1882,6161,25.26,1,0,NZ,0,0,0
2026-05-29T09:57:47.504461,judy,192.168.5.243,192.168.2.131,file_access,ssh,80,2484,4143,0.78,1,0,NZ,0,0,0
2026-05-17T21:08:00.504461,judy,192.168.2.213,192.168.2.87,file_modified,ssh,443,4110,1614,22.88,1,0,NZ,0,0,0
2026-05-22T15:53:42.504461,bob,192.168.2.215,192.168.2.68,file_modified,cmd.exe,80,3958,4557,16.83,1,0,NZ,0,0,0
